category;coeff
Auto & Vehicles;0.98
Book;0.92
Business;0.98
Education;0.97
Entertainment;0.87
Events;0.98
Finance;0.98
Food & Drink;0.98
Games;0.31727745
Graphics & Design;0.98
Health & Fitness;0.98
House & Home;0.98
Lifestyle;0.8
Medical;0.98
Music;0.93
Navigation;0.98
News;0.98
Personalization;0.98
Photo & Video;0.92
Productivity;0.98
Shopping;0.61
Social Networking;0.98
Sports;0.98
Travel;0.98
Utilities;0.98
Weather;0.98
